,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
4480.8648,87.4191,2.7966,3.4471,3.8939,4.1156,4.1444,70.7664,2.527,-0.0395,18.1218,LIS_003,Itajai-Açu e Ilha Bela
4481.0172,87.4137,2.7822,3.4381,3.8866,4.1093,4.1384,70.8257,2.5264,-0.0399,17.8799,LIS_003,Itajai-Açu e Ilha Bela
4481.1696,88.1114,2.7555,3.4135,3.8612,4.0836,4.1122,70.8552,2.5259,-0.0405,17.7298,LIS_003,Itajai-Açu e Ilha Bela
4481.322,88.6772,2.7162,3.3723,3.8164,4.0368,4.0642,71.1207,2.5248,-0.041,17.7285,LIS_003,Itajai-Açu e Ilha Bela
4481.4744,87.9723,2.6785,3.3318,3.7717,3.9899,4.0157,71.682,2.5235,-0.041,17.8727,LIS_003,Itajai-Açu e Ilha Bela
4481.6268,87.1904,2.6548,3.3072,3.7442,3.9608,3.9849,72.2369,2.5243,-0.0376,18.0375,LIS_003,Itajai-Açu e Ilha Bela
4481.7792,88.1127,2.6508,3.3057,3.7418,3.9583,3.9806,72.3938,2.5277,-0.0333,18.1803,LIS_003,Itajai-Açu e Ilha Bela
4481.9316,89.9497,2.658,3.3164,3.7528,3.97,3.9906,72.0454,2.5338,-0.0313,18.0528,LIS_003,Itajai-Açu e Ilha Bela
4482.084,90.5706,2.6596,3.3184,3.754,3.9716,3.9906,71.4004,2.5417,-0.0328,17.6583,LIS_003,Itajai-Açu e Ilha Bela
4482.2364,90.1885,2.6571,3.3134,3.7475,3.9655,3.9835,70.7709,2.5481,-0.0347,17.2633,LIS_003,Itajai-Açu e Ilha Bela
4482.3888,89.7952,2.6658,3.3199,3.7545,3.9743,3.9919,70.3787,2.5506,-0.0323,17.119,LIS_003,Itajai-Açu e Ilha Bela
4482.5412,88.7366,2.6917,3.346,3.7838,4.0079,4.0257,70.2932,2.5513,-0.0283,17.5056,LIS_003,Itajai-Açu e Ilha Bela
4482.6936,87.1447,2.7443,3.4052,3.8515,4.0833,4.1023,70.5002,2.5534,-0.0275,18.1913,LIS_003,Itajai-Açu e Ilha Bela
4482.846,87.0278,2.8339,3.5137,3.9765,4.2209,4.242,70.9634,2.5574,-0.0275,18.1138,LIS_003,Itajai-Açu e Ilha Bela
4482.9984,87.4041,2.9295,3.6347,4.1182,4.3777,4.4015,71.5662,2.56,-0.0274,16.9202,LIS_003,Itajai-Açu e Ilha Bela
4483.1508,86.8857,2.9907,3.717,4.2184,4.4916,4.5182,72.138,2.5579,-0.0284,15.7755,LIS_003,Itajai-Açu e Ilha Bela
4483.3032,86.4573,3.0324,3.7764,4.2939,4.5794,4.6088,72.5574,2.5529,-0.0287,15.456,LIS_003,Itajai-Açu e Ilha Bela
4483.4556,87.0027,3.0786,3.841,4.375,4.6725,4.7048,72.7105,2.5489,-0.0289,15.6797,LIS_003,Itajai-Açu e Ilha Bela
4483.608,87.7007,3.1271,3.9072,4.4558,4.7639,4.7986,72.5092,2.5467,-0.0294,16.0145,LIS_003,Itajai-Açu e Ilha Bela
4483.7604,87.73,3.1848,3.9827,4.5451,4.8615,4.8984,71.9987,2.5452,-0.0299,16.3726,LIS_003,Itajai-Açu e Ilha Bela
4483.9128,85.5892,3.2727,4.0931,4.6727,4.9962,5.0353,71.3907,2.5433,-0.0312,16.6731,LIS_003,Itajai-Açu e Ilha Bela
4484.0652,81.6471,3.3891,4.237,4.8344,5.166,5.2073,71.0035,2.5397,-0.0343,17.0981,LIS_003,Itajai-Açu e Ilha Bela
4484.2176,79.5029,3.4728,4.3381,4.9442,5.2786,5.3214,71.0078,2.5359,-0.036,17.8221,LIS_003,Itajai-Açu e Ilha Bela
